date,category,title,amount
2023-03-30,restaurante,L4u*Padaria 3 Poderes,15.00
2023-03-30,transporte,Posto Cruzeiro do Sul,30.00
2023-03-29,casa,Pag*Mepayfinancial,5.50
2023-03-26,restaurante,Pag*Claudiobare,16.00
2023-03-26,supermercado,Padaria Pao Divino,6.00
2023-03-24,supermercado,Supermercado Super Lun,18.00
2023-03-24,serviços,Cartola Pro,12.49
2023-03-23,transporte,Posto Tereza Cristina,50.00
2023-03-22,charge,Lucas Eduardo Silva Camara,20.52
2023-03-22,casa,Pag*Mepayfinancial,5.50
2023-03-21,restaurante,L4u*Padaria 3 Poderes,7.70
2023-03-20,restaurante,Mercadolivre*Moreiras,4.50
2023-03-19,serviços,Pag*Spotpasssolucoes,15.00
2023-03-18,supermercado,Padaria Pao Divino,14.60
2023-03-16,supermercado,Padaria Pao Divino,13.50
2023-03-16,transporte,Posto Cruzeiro do Sul,50.00
2023-03-14,transporte,Posto Quick,30.00
2023-03-12,casa,Pag*Mepayfinancial,10.00
2023-03-10,charge,Dawidson Almeida Pires,20.78
2023-03-09,transporte,Auto Posto Arrudao,40.00
2023-03-09,restaurante,L4u*Padaria 3 Poderes,13.25
2023-03-08,restaurante,Drive Bh Catalao,3.50
2023-03-08,transporte,Posto Cruzeiro do Sul,31.00
2023-03-06,supermercado,Padaria Pao Divino,2.00
2023-03-06,transporte,Posto Cruzeiro do Sul,40.00
2023-03-06,restaurante,Bar do Sabao,14.57
2023-03-05,restaurante,Mc Donalds Ctg,3.80
2023-03-05,transporte,Posto Cruzeiro do Sul,30.00
2023-03-05,vestuário,Maria Selma Real,58.75
2023-03-05,lazer,Bola Na Rede,7.00
2023-03-03,transporte,Posto Tereza Cristina,50.00
2023-03-02,payment,Pagamento recebido,-50.00
2023-03-01,payment,Pagamento recebido,-848.82
2023-03-01,supermercado,Padaria Pao Divino,5.25
2023-03-01,transporte,Posto Cruzeiro do Sul,60.00
2023-03-01,casa,Ponto do Riacho,25.00
2023-02-28,outros,Pag*Bombonsecia,3.60
2023-02-28,supermercado,Padaria Pao Divino,16.05
2023-02-28,transporte,Autoonze 2/2,193.00
