date,category,title,amount
2022-08-29,casa,Mauricinho do Sanduich,17.00
2022-08-29,restaurante,Ta Osso Beach,8.00
2022-08-29,restaurante,Ta Osso Beach,22.00
2022-08-29,restaurante,Ta Osso Beach,24.00
2022-08-28,payment,Pagamento recebido,-71.00
2022-08-20,payment,Pagamento recebido,-12.00
2022-08-19,restaurante,Geraldo Ferreira de M,12.00
2022-08-15,payment,Pagamento recebido,-14.98
2022-08-14,transporte,Uber *Uber *Trip,14.98
2022-08-10,payment,Pagamento recebido,-45.84
2022-08-09,supermercado,Santa Cruz,17.94
2022-08-07,transporte,Uber *Uber *Trip,27.90
2022-08-05,payment,Pagamento recebido,-30.00
2022-08-04,saúde,Hgs Exames,30.00
2022-07-31,payment,Pagamento recebido,-44.85
