date,category,title,amount
2023-07-29,transporte,Uber *Uber *Trip,6.30
2023-07-29,transporte,Uber *Uber *Trip,6.36
2023-07-27,transporte,Uber *Uber *Trip,6.43
2023-07-27,transporte,Uber *Uber *Trip,5.91
2023-07-27,transporte,Uber *Uber *Trip,19.95
2023-07-26,transporte,Uber *Uber *Trip,6.12
2023-07-26,transporte,Uber *Uber *Trip,5.43
2023-07-23,transporte,Posto Cruzeiro do Sul,60.00
2023-07-22,transporte,Uber *Uber *Trip,7.20
2023-07-22,restaurante,Restaurante e Lanchone,19.00
2023-07-22,transporte,Uber *Uber *Trip,6.99
2023-07-20,educação,Zp *Sympla 6143ha,22.50
2023-07-20,supermercado,Padaria Pao Divino,8.12
2023-07-20,transporte,Posto Trancoso,30.00
2023-07-18,transporte,Uber *Uber *Trip,6.92
2023-07-18,transporte,Uber *Uber *Trip,6.70
2023-07-15,transporte,Uber *Uber *Trip,14.93
2023-07-15,transporte,Uber *Uber *Trip,7.31
2023-07-15,restaurante,Ifood *Ifd*Restauran,19.89
2023-07-14,serviços,Cabelos Beer,10.00
2023-07-13,transporte,Uber *Uber *Trip,5.07
2023-07-11,transporte,Posto Cruzeiro do Sul,50.00
2023-07-06,transporte,Uber *Uber *Trip,7.62
2023-07-06,transporte,Uber *Uber *Trip,6.43
2023-07-04,transporte,Uber *Uber *Trip,6.14
2023-07-04,transporte,Uber *Uber *Trip,5.38
2023-07-03,transporte,Posto Cn,30.00
2023-07-03,payment,Pagamento recebido,-770.12
2023-07-03,supermercado,Pizzaria 4 Sabores,21.25
2023-07-02,restaurante,Ifood *Ifd*2b Blends,17.89
2023-07-01,transporte,Posto Cruzeiro do Sul,30.00
