date,category,title,amount
2022-10-30,transporte,Uber *Uber *Trip,18.65
2022-10-29,restaurante,Feito em Casa,18.50
2022-10-28,restaurante,Feito em Casa,13.67
2022-10-28,transporte,Uber *Uber *Trip,21.59
2022-10-24,payment,Pagamento recebido,-21.99
2022-10-19,transporte,Uber *Uber *Trip,13.75
2022-10-19,transporte,Uber *Uber *Trip,8.24
2022-10-16,payment,Pagamento recebido,-128.72
2022-10-13,restaurante,Pag*Daniellamenezesde,36.00
2022-10-09,transporte,Uber *Uber *Trip,8.76
2022-10-09,transporte,Uber *Uber *Trip,18.52
2022-10-09,transporte,Uber *Uber *Trip,17.39
2022-10-09,transporte,Uber *Uber *Trip,21.55
2022-10-08,outros,Gege Hot Dog Gourmet,16.50
2022-10-07,lazer,Be Happy,10.00
2022-10-03,payment,Pagamento recebido,-188.50
2022-10-03,transporte,Uber *Uber *Trip,8.67
2022-10-02,restaurante,Bar do Sabao 2 Ltda,72.36
2022-10-02,restaurante,Pag*Leniciadasilvafer,32.00
2022-10-02,restaurante,Geraldo Ferreira de M,16.50
2022-10-02,transporte,Uber *Uber *Trip,17.88
2022-10-01,transporte,Uber *Uber *Trip,20.09
2022-10-01,lazer,Be Happy,10.00
2022-09-30,restaurante,Drive Bh Catalao,3.50
