date,category,title,amount
2022-11-28,payment,Pagamento recebido,-300.00
2022-11-27,supermercado,Padaria Pao Divino,37.20
2022-11-27,casa,Assai Atacadista,66.29
2022-11-27,supermercado,Drinks Alvorada,36.00
2022-11-27,restaurante,Ifoodcom Agnc,85.99
2022-11-27,restaurante,Panificadora Tio Louro,29.40
2022-11-26,supermercado,Arm. Familia Alves,15.00
2022-11-26,supermercado,Arm. Familia Alves,63.00
2022-11-25,restaurante,Pizzaiolo Cidade Nova,25.15
2022-11-24,restaurante,Geraldo Ferreira de M,50.40
2022-11-23,supermercado,Arm. Familia Alves,39.00
2022-11-23,restaurante,Pag*Restaurantet,21.30
2022-11-23,lazer,Pag*Steam,53.99
2022-11-21,payment,Pagamento recebido,-259.25
2022-11-20,restaurante,Danilus Bar,231.68
2022-11-19,transporte,Uber *Uber *Trip,13.97
2022-11-18,restaurante,Mc Donald S-Svb Loja,4.50
2022-11-18,transporte,Uber *Uber *Trip,9.10
2022-11-07,payment,Pagamento recebido,-241.55
2022-11-03,supermercado,Supermercados Bh,194.70
2022-11-03,transporte,Uber *Uber *Trip,9.90
2022-11-03,transporte,Uber *Uber *Trip,10.99
2022-11-02,transporte,Uber *Uber *Trip,25.39
2022-11-01,payment,Pagamento recebido,-50.00
2022-11-01,payment,Pagamento recebido,-72.41
2022-11-01,casa,Pag*Mepayfinancial,8.50
2022-11-01,transporte,Uber *Uber *Trip,11.07
2022-10-31,restaurante,O Garapeiro,16.00
2022-10-31,restaurante,Geraldo Ferreira de M,15.00
