date,category,title,amount
2023-10-30,restaurante,61710 Preparacao de do,45.50
2023-10-24,payment,Pagamento recebido,-466.37
2023-10-24,transporte,Expressa Combustiveis,20.00
2023-10-23,transporte,Posto Cruzeiro do Sul,40.00
2023-10-23,transporte,Uber *Uber *Trip,13.99
2023-10-15,restaurante,Gilvander Gomes Gonza,20.50
2023-10-15,serviços,Pag*Silmarareisdasilv,30.00
2023-10-13,transporte,Posto Cruzeiro do Sul,30.00
2023-10-11,transporte,Posto Cruzeiro do Sul,30.00
2023-10-08,transporte,Inconfidentes Combusti,30.00
2023-10-07,charge,Eduardo De Freitas Silva,31.66
2023-10-06,payment,Pagamento recebido,-690.33
2023-10-06,transporte,Leo Gas,105.00
2023-10-06,restaurante,Pag*Surubimnoespeto,26.30
2023-10-04,transporte,Posto Olimar Comercio,20.00
2023-10-02,transporte,Vila Aymore,50.00
2023-10-02,transporte,Posto Norte Sul,33.32
2023-09-30,transporte,Bh Car Viaduto 3/3,466.37
