date,category,title,amount
2023-01-30,supermercado,Pag*Xuxubebidas,74.00
2023-01-29,restaurante,Mc Donalds Ctg,28.90
2023-01-29,restaurante,Mc Donalds Ctg,72.30
2023-01-28,transporte,Pag*Sinalautopecas,22.00
2023-01-28,payment,Pagamento recebido,-38.22
2023-01-28,restaurante,Bar do Sabao,16.07
2023-01-28,payment,Pagamento recebido,-30.00
2023-01-28,payment,Pagamento recebido,-38.00
2023-01-27,outros,Pg *Ton Moreira Silv,5.00
2023-01-26,saúde,Drogarias Pacheco,36.28
2023-01-25,lazer,Pag*Steam,28.49
2023-01-24,payment,Pagamento recebido,-100.00
2023-01-22,restaurante,Pampulha,26.90
2023-01-20,restaurante,Mc Donalds Ctg,32.40
2023-01-20,saúde,Redefarma,12.00
2023-01-16,restaurante,Breik Afonso Pena,12.00
2023-01-15,serviços,Pag*Spotsalestecnolog,35.00
2023-01-15,supermercado,Padaria Pao Divino,4.50
2023-01-15,transporte,Posto Formula,50.00
2023-01-14,transporte,Posto Norte Sul,30.00
2023-01-13,serviços,Mercadolivre*Bailedaa,73.64
2023-01-11,transporte,Posto Formula,30.00
2023-01-09,restaurante,Bar do Sabao,39.36
2023-01-08,payment,Pagamento recebido,-195.69
2023-01-06,supermercado,Pizzaria 4 Sabores,35.00
2023-01-04,supermercado,Pizzaria 4 Sabores,35.00
2023-01-02,payment,Pagamento recebido,-763.00
