date,category,title,amount
2022-06-29,eletrônicos,Mp *Regino,8.00
2022-06-26,saúde,Pedro Alves de Melo,12.50
2022-06-25,outros,Brunna Mendes Araujo,5.00
2022-06-24,payment,Pagamento recebido,-5.00
2022-06-20,payment,Pagamento recebido,-216.38
2022-06-20,transporte,Uber *Uber *Trip,29.99
2022-06-20,saúde,Drogarias Pacheco,79.99
2022-06-20,restaurante,Pag*Samsfood,19.30
2022-06-19,transporte,Anchieta Garden Shoppi,16.00
2022-06-19,serviços,Pag*Mepayfinancial,15.38
2022-06-19,serviços,Pag*Mepayfinancial,15.38
2022-06-19,transporte,Uber *Uber *Trip,24.96
2022-06-19,serviços,Pag*Mepayfinancial,15.38
2022-06-18,restaurante,Nono Caldos,20.00
2022-06-17,transporte,Uber *Uber *Trip,104.90
2022-06-17,payment,Pagamento recebido,-124.90
2022-06-15,payment,Pagamento recebido,-64.49
2022-06-15,supermercado,Pag*Tonolucro,64.49
2022-06-13,payment,Pagamento recebido,-20.80
2022-06-11,supermercado,Emporio G,11.80
2022-06-07,restaurante,Distribuidora Imperial,9.00
2022-06-04,payment,Pagamento recebido,-106.37
2022-06-04,restaurante,Mp *Casasanduiche,57.00
2022-06-01,transporte,Mp *Samuel,14.10
2022-06-01,restaurante,Dona Lica,11.30
2022-05-31,serviços,Cartola Pro 3/4,14.97
