date,category,title,amount
2024-02-23,supermercado,Padaria Pao Divino,12.30
2024-02-22,transporte,Expressa Combustiveis,50.00
2024-02-19,transporte,Ifd*Douglas Fernandes,24.89
2024-02-17,restaurante,Gege Hot Dog,17.50
2024-02-17,eletrônicos,Helton Apolinario de S,60.00
2024-02-15,supermercado,Padaria Pao Divino,10.50
2024-02-14,transporte,Leo Gas,100.00
2024-02-11,transporte,Uber *Uber *Trip,44.97
2024-02-11,supermercado,Padaria Pao Divino,7.99
2024-02-11,supermercado,Supermercado Super Lun,254.81
2024-02-11,supermercado,Padaria Pao Divino,25.75
2024-02-10,supermercado,Bar e Merc Metro,28.00
2024-02-09,serviços,Tech Press,52.00
2024-02-09,supermercado,Padaria Pao Divino,13.75
2024-02-09,transporte,Uber *Uber *Trip,11.94
2024-02-09,transporte,Uber *Uber *Trip,16.93
2024-02-08,transporte,Posto Cruzeiro do Sul,50.00
2024-02-07,outros,Igreja Evangelica Ver,35.00
2024-02-07,transporte,Posto Cruzeiro do Sul,50.00
2024-02-07,charge,HUMBERTO HEGO BORGES,7.61
2024-02-07,charge,Gabriel Hilbert Antunes,21.85
2024-02-05,supermercado,Pag*Xuxubebidas,56.00
2024-02-04,supermercado,Big Mercearia e Comerc,5.00
2024-02-04,restaurante,Picco Restaurante,166.70
2024-02-04,transporte,Posto Cruzeiro do Sul,50.00
2024-02-04,transporte,Posto Cruzeiro do Sul,3.11
2024-02-03,transporte,Sinal Auto Pecas e Ace,24.00
2024-02-01,transporte,Posto Cruzeiro do Sul,50.00
2024-02-01,payment,Pagamento recebido,-842.33
2024-01-31,transporte,Mp *Autoonze 2/6,273.33
