date,category,title,amount
2022-09-27,casa,Pag*Mepayfinancial,7.50
2022-09-24,supermercado,Pn Trigo Vinho,9.50
2022-09-24,restaurante,Pag*Surubimnoespeto,31.39
2022-09-24,restaurante,Pag*Cantogourmet,7.50
2022-09-24,restaurante,Geraldo Ferreira de M,34.50
2022-09-23,lazer,Be Happy,12.00
2022-09-23,payment,Pagamento recebido,-161.39
2022-09-22,serviços,Pag*Silmarareisdasilv,21.00
2022-09-20,casa,Pag*Mepayfinancial,8.50
2022-09-17,restaurante,Elite do Lelis,37.00
2022-09-12,casa,Pag*Mepayfinancial,24.20
2022-09-11,payment,Pagamento recebido,-87.05
2022-09-11,supermercado,Trinkando,32.91
2022-09-11,casa,Pag*Mepayfinancial,24.20
2022-09-11,transporte,Uber *Uber *Trip,5.74
2022-09-08,payment,Pagamento recebido,-64.00
2022-09-08,restaurante,Pag*Doracivieira,64.00
2022-09-02,supermercado,Pn Trigo Vinho,10.20
2022-09-01,payment,Pagamento recebido,-10.20
