date,category,title,amount
2023-11-29,transporte,Posto Quick,30.00
2023-11-27,loan_revolving_interest,Juros de rotativo,3.94
2023-11-27,loan_revolving_tax,IOF de rotativo,0.15
2023-11-25,supermercado,Pag*Jaconiasfreiredas,13.50
2023-11-24,transporte,Posto Cruzeiro do Sul,30.00
2023-11-20,transporte,Posto Cruzeiro do Sul,50.00
2023-11-16,restaurante,Sol e Neve,20.03
2023-11-14,charge,PEDRO LUCAS SILVA CAMARA                ,12.01
2023-11-13,charge,TELEFONICA BRASIL S A ,45.98
2023-11-12,restaurante,Pag*Paulusbar,52.80
2023-11-12,supermercado,Manos Beer Loja,14.67
2023-11-12,restaurante,Pag*Paulusbar,15.00
2023-11-11,transporte,Posto Cruzeiro do Sul,40.00
2023-11-08,charge,ADMINISTRADORA GERAL DE ESTACIONAMENTOS S A                 ,11.92
2023-11-07,loan_revolving_transitory,Crédito de rotativo,-24.35
2023-11-07,transporte,Posto Cruzeiro do Sul,52.92
2023-11-07,loan_revolving,Saldo em rotativo,24.35
2023-11-07,charge,PEDRO LUCAS SILVA CAMARA                ,21.54
2023-11-06,payment,Pagamento recebido,-501.92
2023-11-04,restaurante,Canto da Cerveja,11.00
2023-11-03,serviços,Pag*Rafaelalvesda,20.00
2023-11-02,transporte,Posto Cruzeiro do Sul,30.00
2023-11-02,lazer,Frogpay*B7 Plus,45.00
