date,category,title,amount
2022-01-30,restaurante,Bk Brasil Operacao Ass,24.90
2022-01-30,restaurante,Panificadora Palmeiras,33.95
2022-01-29,payment,Pagamento recebido,-194.84
2022-01-28,serviços,Microsoft*Xbox,34.99
2022-01-27,transporte,Pg *Buser,154.85
2022-01-26,payment,Pagamento recebido,-10.00
2022-01-23,restaurante,Imperial Distribuidora,15.00
2022-01-18,payment,Pagamento recebido,-196.46
2022-01-03,supermercado,Coisas da Casa,7.00
2022-01-03,outros,Mp *Alvaninhoalverino,15.00
2022-01-03,outros,Pag*Alessandramendes,10.00
2022-01-02,restaurante,C F de Cabofrio,37.00
2022-01-02,restaurante,Padaria Remmar,65.06
2022-01-01,restaurante,Padaria Remmar,20.50
2022-01-01,restaurante,Lv Praia Alimentos,41.90
