date,category,title,amount
2023-09-29,transporte,Uber *Uber *Trip,11.95
2023-09-29,transporte,Posto Labareda,30.00
2023-09-29,transporte,Uber *Uber *Trip,5.00
2023-09-26,transporte,Uber *Uber *Trip,5.86
2023-09-25,supermercado,Comercial Marcal,90.00
2023-09-24,vestuário,Pag*Fabiolakelede,62.80
2023-09-23,transporte,Expressa Combustiveis,50.00
2023-09-23,restaurante,Cantina Claudio Burgue,32.00
2023-09-20,transporte,Posto Cruzeiro do Sul,30.00
2023-09-18,supermercado,Pag*Sorvetesfhamltda,13.92
2023-09-16,restaurante,Mc Donalds Big,4.50
2023-09-16,transporte,Posto Quick,50.00
2023-09-14,transporte,Posto Cruzeiro do Sul,30.00
2023-09-12,lazer,Frogpay*B7 Plus,30.00
2023-09-10,restaurante,Mc Donalds Big,4.50
2023-09-08,payment,Pagamento recebido,-466.37
2023-09-08,transporte,Pag*Unidadeitaupower,11.00
2023-09-07,payment,Pagamento recebido,-1027.52
2023-09-06,vestuário,Zeut,70.00
2023-09-04,transporte,Posto Cruzeiro do Sul,20.00
2023-09-04,restaurante,Tropeiro Real,18.00
2023-09-03,supermercado,Rei do Gado,45.48
2023-09-02,restaurante,Pizza do Barulho,20.00
2023-09-02,transporte,Uber *Uber *Trip,5.32
2023-09-01,transporte,Posto Cruzeiro do Sul,50.00
2023-08-31,transporte,Bh Car Viaduto 2/3,466.37
