date,category,title,amount
2022-05-30,restaurante,Imperial Distribuidora,9.00
2022-05-29,restaurante,Quintal Cafe Louge Bar,12.00
2022-05-29,restaurante,Quintal Cafe Louge Bar,12.00
2022-05-28,payment,Pagamento recebido,-33.00
2022-05-23,restaurante,Mp *Emporiorefei,9.00
2022-05-14,payment,Pagamento recebido,-82.29
2022-05-14,restaurante,Imperial Distribuidora,14.00
2022-05-14,transporte,Pag*Tonolucro,12.62
2022-05-14,transporte,Pag*Tonolucro,82.29
2022-05-14,outros,Brunna Mendes Araujo,8.50
2022-05-14,restaurante,Imperial Distribuidora,33.00
2022-05-13,payment,Pagamento recebido,-144.02
2022-05-13,eletrônicos,Mercpago *Cristiano,14.10
2022-05-12,eletrônicos,Mp *Valda,13.90
2022-05-11,eletrônicos,Pag*Robsonpereira,13.80
2022-05-11,supermercado,Mp *Delano,12.80
2022-05-10,restaurante,Valtunir Jose Pereira,21.30
2022-05-09,restaurante,Saca Rolha Bar&Rest.,68.44
2022-05-09,eletrônicos,Mp *Caiouber,16.95
2022-05-08,payment,Pagamento recebido,-85.39
2022-05-05,transporte,Mp *Elieltonservi,15.20
2022-05-05,payment,Pagamento recebido,-13.01
2022-05-05,eletrônicos,Mp *Regino,7.80
2022-05-05,payment,Pagamento recebido,-9.99
2022-05-01,payment,Pagamento recebido,-34.97
2022-04-30,serviços,Higor Fernandes Freit,20.00
2022-04-30,serviços,Cartola Pro 2/4,14.97
