date,category,title,amount
2024-01-24,transporte,Uber *Uber *Trip,5.52
2024-01-24,transporte,Uber *Uber *Trip,5.07
2024-01-23,transporte,Uber *Uber *Trip,34.94
2024-01-22,restaurante,Ifd*Carla Melo do Carm,77.90
2024-01-20,transporte,Uber *Uber *Trip,11.67
2024-01-20,transporte,Uber *Uber *Trip,4.83
2024-01-19,transporte,Mp *Autoonze,273.35
2024-01-18,transporte,Uber *Uber *Trip,4.88
2024-01-18,restaurante,Bar do Sabao,30.00
2024-01-18,transporte,Uber *Uber *Trip,8.75
2024-01-15,restaurante,Bar do Sabao,77.22
2024-01-14,outros,Igreja Evangelica Ver,35.00
2024-01-14,transporte,Posto Jupiter,109.55
2024-01-09,supermercado,Big Mercearia e Comerc,5.00
2024-01-09,casa,Ponto do Riacho,3.99
2024-01-08,supermercado,Dia,15.99
2024-01-06,restaurante,Apolo,34.00
2024-01-04,transporte,Uber *Uber *Trip,24.93
2024-01-03,lazer,Tembici,5.90
2024-01-03,restaurante,Ifd*Bar e Lanchonete S,22.98
2024-01-02,payment,Pagamento recebido,-859.10
2024-01-02,loan_revolving_interest,Estorno de juros de rotativo,-.95
2024-01-01,lazer,Tembici,25.90
2024-01-01,lazer,Tembici,25.90
