date,category,title,amount
2022-04-23,restaurante,Pag*Samsfood,20.80
2022-04-22,payment,Pagamento recebido,-275.78
2022-04-22,serviços,Pag*Silmarareisdasilv,21.00
2022-04-22,restaurante,Pg *Octavio Luiz Pimen,4.00
2022-04-19,supermercado,Olimpio Lanches,15.50
2022-04-13,lazer,Estacao Hookah,82.00
2022-04-11,restaurante,Meep *Rodeio de Par,18.00
2022-04-07,serviços,Cartola Pro,14.99
2022-04-06,serviços,Simone Santana de Alca,87.00
2022-04-04,transporte,Uber *Trip Help.Uber.C,4.50
2022-04-04,restaurante,Mp *Alexsandra,15.00
2022-04-04,transporte,Uber *Uber *Trip,24.90
2022-04-03,transporte,Uber *Uber *Trip,19.92
2022-04-03,payment,Pagamento recebido,-139.64
2022-04-03,transporte,Uber *Uber *Trip,17.96
2022-04-03,serviços,Dm *Canva,34.90
2022-04-03,transporte,Uber *Uber *Trip,34.95
2022-04-01,payment,Pagamento recebido,-106.41
2022-03-31,tax_foreign,IOF de "Hugo Boss",5.11
2022-03-31,supermercado,Tienda Y Distribuidora,20.01
2022-03-31,vestuário,Hugo Boss,80.02
2022-03-31,tax_foreign,IOF de "Tienda Y Distribuidora",1.28
