date,category,title,amount
2023-08-29,transporte,Uber *Uber *Trip,6.96
2023-08-27,restaurante,Nosso Pao de Queijo,15.90
2023-08-26,transporte,Posto Olimar Comercio,1.00
2023-08-26,transporte,Posto Quick,128.47
2023-08-26,lazer,Frogpay*B7 Plus,30.00
2023-08-25,transporte,Uber *Uber *Trip,5.20
2023-08-25,restaurante,Frutosdegoias,25.17
2023-08-25,transporte,Auto Posto Arrudao,25.00
2023-08-25,transporte,Uber *Uber *Trip,5.72
2023-08-25,transporte,Uber *Uber *Trip,14.98
2023-08-24,payment,Pagamento recebido,-200.46
2023-08-24,transporte,Uber *Uber *Trip,5.02
2023-08-24,transporte,Uber *Uber *Trip,4.12
2023-08-23,transporte,Uber *Uber *Trip,6.07
2023-08-22,transporte,Uber *Uber *Trip,9.55
2023-08-22,transporte,Uber *Uber *Trip,5.41
2023-08-22,transporte,Uber *Uber *Trip,6.25
2023-08-20,casa,Pag*Mepayfinancial,14.00
2023-08-20,transporte,Alfa Auto Posto,30.00
2023-08-19,transporte,Uber *Uber *Trip,5.51
2023-08-19,transporte,Uber *Uber *Trip,10.94
2023-08-18,transporte,Posto Oceano Ltda,50.00
2023-08-18,transporte,Uber *Uber *Trip,5.18
2023-08-18,transporte,Uber *Uber *Trip,7.20
2023-08-18,transporte,Bh Car Viaduto,466.38
2023-08-17,transporte,Uber *Uber *Trip,9.92
2023-08-17,transporte,Uber *Uber *Trip,5.49
2023-08-13,supermercado,Comercial Marcal,37.00
2023-08-12,transporte,Uber *Uber *Trip,9.96
2023-08-12,transporte,Uber *Uber *Trip,7.10
2023-08-12,transporte,Uber *Uber *Trip,4.94
2023-08-11,serviços,Bentos Barbearia,40.00
2023-08-11,transporte,Posto Cruzeiro do Sul,50.00
2023-08-11,supermercado,Padaria Pao Divino,5.50
2023-08-11,transporte,Uber *Uber *Trip,6.93
2023-08-10,transporte,Uber *Uber *Trip,5.18
2023-08-10,transporte,Uber *Uber *Trip,4.34
2023-08-09,transporte,Uber *Uber *Trip,6.78
2023-08-09,transporte,Uber *Uber *Trip,5.46
2023-08-08,transporte,Uber *Uber *Trip,11.99
2023-08-08,supermercado,Padaria Pao Divino,26.00
2023-08-08,charge,FABRICIO LENE DE JESUS,20.93
2023-08-05,transporte,Uber *Uber *Trip,3.65
2023-08-05,transporte,Uber *Uber *Trip,8.70
2023-08-04,transporte,Uber *Uber *Trip,9.91
2023-08-03,transporte,Uber *Uber *Trip,10.98
2023-08-03,transporte,Uber *Uber *Trip,3.61
2023-08-03,casa,Emporio,29.31
2023-08-03,transporte,Uber *Uber *Trip,6.26
2023-08-02,transporte,Uber *Uber *Trip,6.40
2023-08-02,transporte,Uber *Uber *Trip,7.61
2023-08-01,payment,Pagamento recebido,-455.84
