date,category,title,amount
2022-02-27,serviços,Thalis Ricardo de Souz,30.00
2022-02-23,payment,Pagamento recebido,-45.20
2022-02-17,transporte,Mp *Fabio,13.40
2022-02-17,transporte,Mp *Uber,16.20
2022-02-16,restaurante,Mp *Paradadofran,15.60
2022-02-15,payment,Pagamento recebido,-52.93
2022-02-10,restaurante,Alquimia Gastropub,8.00
2022-01-31,supermercado,Chuchu Bebidas,24.43
2022-01-31,payment,Pagamento recebido,-7.22
2022-01-31,restaurante,Geraldo Ferreira de M,20.50
2022-01-31,payment,Pagamento recebido,-1.63
2022-01-31,payment,Pagamento recebido,-50.00
