date,category,title,amount
2024-04-29,lazer,Informa Mark*Agrishow,35.00
2024-04-29,lazer,Informa Mark*Agrishow,35.00
2024-04-27,restaurante,Rest e Lanc Felicios,25.00
2024-04-27,transporte,Uber *Uber *Trip,14.23
2024-04-26,serviços,Pg *Ton Tec Word,230.00
2024-04-26,transporte,Uber *Uber *Trip,5.32
2024-04-25,transporte,As Negocios Empreendim,50.00
2024-04-25,outros,Igreja Evangelica Ver,35.00
2024-04-24,transporte,Allpark Empreendimento,16.00
2024-04-22,supermercado,Pag*Xuxubebidas,60.50
2024-04-22,transporte,Posto Carmenia S.A,30.00
2024-04-21,restaurante,Gege Hot Dog,30.00
2024-04-21,supermercado,Rondon Distribuidora D,39.24
2024-04-20,restaurante,Gege Hot Dog,42.00
2024-04-20,supermercado,53949363 Alves Distri,5.00
2024-04-20,saúde,Raia3338,40.90
2024-04-17,restaurante,39911756 Maria Del Car,60.00
2024-04-17,serviços,Bruno Celulares,40.00
2024-04-17,serviços,Conta Vivo,43.00
2024-04-17,casa,Reis Eletrica e Hidrau,5.90
2024-04-15,transporte,Posto Carmenia S.A,50.00
2024-04-15,restaurante,Claudioburgue,30.00
2024-04-15,serviços,Cabelos Beer,45.50
2024-04-14,restaurante,Cervejaria Paje,134.20
2024-04-14,transporte,Auto Posto Arrudao,50.00
2024-04-13,supermercado,Pag*Pointbeerbetania,27.95
2024-04-11,serviços,Pag*Mepayfinancial,7.50
2024-04-11,transporte,As Negocios Empreendi,30.00
2024-04-10,restaurante,Piratas Bar,35.20
2024-04-10,transporte,Posto Carmenia S.A,40.00
2024-04-10,serviços,Pag*Mepayfinancial,7.50
2024-04-08,serviços,Pag*Gabrielelanch,25.00
2024-04-08,transporte,Posto Carmenia S.A,62.00
2024-04-08,supermercado,Pag*Pointbeerbetania,36.45
2024-04-08,restaurante,Sorveteria Almeida,29.00
2024-04-07,serviços,Zp*Hard Solucoes e Ser,13.50
2024-04-07,supermercado,Pag*Pointbeerbetania,34.99
2024-04-07,outros,Igreja Evangelica Ver,35.00
2024-04-07,supermercado,Dionisio Carnes,116.59
2024-04-07,saúde,Drogaria Fabiana,19.98
2024-04-07,transporte,Posto Carmenia S.A,40.00
2024-04-06,restaurante,Bk Brasil Operacao Ass,63.90
2024-04-02,payment,Pagamento recebido,-1287.28
2024-04-02,restaurante,Pn Trigo Vinho,21.06
2024-03-31,restaurante,Belmonte Copacabana,50.04
2024-03-31,transporte,Mp *Autoonze 4/6,273.33
2024-03-31,supermercado,Sara Carvalho,20.00
