date,category,title,amount
2024-06-28,charge,Foco Empreendimentos Ltda,37.73
2024-06-26,payment,Pagamento recebido,-1284.26
2024-06-17,charge,EMPRESA MUNIC DE DESENVOLVIMENTO URBANO RURAL DE BAURU,5.15
2024-06-15,restaurante,Pag*Rosasalgados,10.00
2024-06-14,transporte,Autoparque do Brasil,4.00
2024-06-14,supermercado,Claudinho Churros,6.00
2024-06-14,transporte,Km Auto Center Bauru,177.80
2024-06-13,charge,EMPRESA MUNIC DE DESENVOLVIMENTO URBANO RURAL DE BAURU,5.18
2024-06-13,restaurante,Mc Donalds,9.00
2024-06-11,transporte,Uber *Uber *Trip,17.94
2024-06-11,serviços,Acf Raja,33.95
2024-06-09,restaurante,Old School,26.00
2024-06-09,restaurante,Old School,52.00
2024-06-09,lazer,Bar do Sabao Sinuca,70.24
2024-06-09,transporte,Uber *Uber *Trip,24.93
2024-06-08,outros,Igreja Evangelica Ver,35.00
2024-06-08,restaurante,Bar do Sabao,42.00
2024-06-08,transporte,Auto Posto Arrudao,20.00
2024-06-08,transporte,Uber *Uber *Trip,29.91
2024-06-07,outros,Pg *Ton A C Pereira,120.00
2024-06-07,restaurante,Grupo Yes Churrascaria,69.00
2024-06-05,supermercado,Pao de Acucar-2449,19.99
2024-06-03,transporte,Uber *Uber *Trip,34.91
2024-06-03,restaurante,Lanchonete Breik Breik,49.00
2024-06-03,transporte,Uber *Uber *Trip,24.96
2024-06-03,transporte,Uber *Uber *Trip,8.98
2024-06-03,transporte,Uber *Uber *Trip,14.99
2024-06-03,serviços,Pag*Spotpasssolucoes,5.00
2024-06-03,transporte,Metro,50.00
2024-06-02,serviços,Pag*Spotpasssolucoes,45.00
2024-05-31,transporte,Mp *Autoonze 6/6,273.33
2024-05-31,payment,Pagamento recebido,-2621.24
