date,category,title,amount
2023-04-29,restaurante,Pag*Claudiobare,16.00
2023-04-28,payment,Pagamento recebido,-42.00
2023-04-27,casa,Pag*Mepayfinancial,5.50
2023-04-27,restaurante,Padaria Pao Divino,8.50
2023-04-27,restaurante,Pizzaiolo Cidade Nova,29.43
2023-04-26,supermercado,Garagem Hamburgueria,17.90
2023-04-26,transporte,Posto Leste Oeste,50.00
2023-04-26,transporte,Pag*Sinalautopecas,40.00
2023-04-25,restaurante,Pizzaiolo Cidade Nova,29.41
2023-04-22,supermercado,Drinks Alvorada,27.50
2023-04-21,restaurante,Padaria Pao Divino,1.50
2023-04-21,transporte,Posto Cruzeiro do Sul,30.00
2023-04-20,casa,Pag*Mepayfinancial,7.00
2023-04-20,restaurante,Churrascaria Cidade No,23.64
2023-04-19,supermercado,Padaria Pao Divino,2.50
2023-04-18,transporte,Uber *Uber *Trip,8.66
2023-04-17,transporte,Posto Cruzeiro do Sul,50.00
2023-04-17,transporte,Shopping Contagem,10.00
2023-04-17,supermercado,Pag*Recantodasfrutas,82.00
2023-04-14,transporte,Rd Posto de Combustive,20.00
2023-04-14,transporte,Posto Cruzeiro do Sul,30.00
2023-04-14,transporte,Uber *Uber *Trip,7.13
2023-04-14,supermercado,Manos Beer,63.00
2023-04-13,transporte,Posto Tereza Cristina,20.00
2023-04-13,casa,Pag*Mepayfinancial,3.50
2023-04-13,restaurante,L4u*Padaria 3 Poderes,16.40
2023-04-13,transporte,Uber *Uber *Trip,13.93
2023-04-12,casa,Pag*Mepayfinancial,5.50
2023-04-12,supermercado,Padaria Pao Divino,8.30
2023-04-11,transporte,Uber *Uber *Trip,7.27
2023-04-11,transporte,Uber *Uber *Trip,8.80
2023-04-09,supermercado,Supermerc S Luna,67.63
2023-04-06,restaurante,L4u*Padaria 3 Poderes,12.40
2023-04-06,transporte,Posto Miragem,25.00
2023-04-06,casa,Pag*Mepayfinancial,3.50
2023-04-05,casa,Ponto do Riacho,30.00
2023-04-05,payment,Pagamento recebido,-891.86
2023-04-03,supermercado,Sup Vista Alegre,20.98
2023-04-03,restaurante,sem Destino Santa Cruz,21.00
2023-04-03,saúde,Drogaria Paraopeba,6.00
2023-04-03,supermercado,Supermercado Super Lun,39.46
2023-04-02,supermercado,Minas Bebidas Distribu,22.00
2023-04-02,supermercado,Padaria Pao Divino,9.00
2023-04-02,saúde,Pag*Drogariae,20.00
2023-03-31,supermercado,Padaria Pao Divino,8.10
2023-03-31,serviços,Cartola Pro 2/4,12.47
